,toxin_id,cas_number
0,T3D0001,"7440-38-2"
1,T3D0002,"7439-92-1"
2,T3D0003,"7439-97-6"
3,T3D0004,"75-01-4"
4,T3D0006,"71-43-2"
5,T3D0007,"7440-43-9"
6,T3D0009,"50-32-8"
7,T3D0010,"205-99-2"
8,T3D0011,"67-66-3"
9,T3D0012,"50-29-3"
10,T3D0013,"11097-69-1"
11,T3D0014,"11096-82-5"
12,T3D0015,"53-70-3"
13,T3D0016,"1979-01-06"
14,T3D0017,"60-57-1"
15,T3D0018,"18540-29-9"
16,T3D0019,"12185-10-3"
17,T3D0020,"57-74-9"
18,T3D0021,"72-55-9"
19,T3D0022,"87-68-3"
20,T3D0024,"309-00-2"
21,T3D0025,"72-54-8"
22,T3D0026,"92-87-5"
23,T3D0027,"12672-29-6"
24,T3D0028,"1957-12-05"
25,T3D0031,"8001-35-2"
26,T3D0032,"58-89-9"
27,T3D0033,"127-18-4"
28,T3D0034,"76-44-8"
29,T3D0035,"106-93-4"
30,T3D0036,"319-85-7"
31,T3D0037,"107-02-8"
32,T3D0038,"298-04-4"
33,T3D0039,"56-55-3"
34,T3D0040,"91-94-1"
35,T3D0041,"72-20-8"
36,T3D0042,"7440-41-7"
37,T3D0043,"319-86-8"
38,T3D0044,"96-12-8"
39,T3D0045,"87-86-5"
40,T3D0046,"1024-57-3"
41,T3D0047,"56-23-5"
42,T3D0048,"11104-28-2"
43,T3D0049,"7440-48-4"
44,T3D0050,"789-02-6"
45,T3D0051,"12674-11-2"
46,T3D0052,"84-74-2"
47,T3D0053,"7440-02-0"
48,T3D0055,"1031-07-8"
49,T3D0056,"333-41-5"
50,T3D0058,"108-38-3"
51,T3D0059,"5103-71-9"
52,T3D0061,"72-43-5"
53,T3D0062,"207-08-9"
54,T3D0063,"53494-70-5"
55,T3D0064,"5103-74-2"
56,T3D0065,"1333-82-0"
57,T3D0066,"74-82-8"
58,T3D0067,"33213-65-9"
59,T3D0069,"7421-93-4"
60,T3D0070,"56832-73-6"
61,T3D0071,"108-88-3"
62,T3D0072,"591-78-6"
63,T3D0073,"1746-01-6"
64,T3D0074,"7440-66-6"
65,T3D0075,"15132-04-4"
66,T3D0076,"117-81-7"
67,T3D0077,"7440-47-3"
68,T3D0078,"91-20-3"
69,T3D0079,"75-35-4"
70,T3D0080,"1975-09-02"
71,T3D0082,"118-96-7"
72,T3D0084,"302-01-2"
73,T3D0085,"107-06-2"
74,T3D0086,"88-06-2"
75,T3D0087,"51-28-5"
76,T3D0088,"111-44-4"
77,T3D0089,"302-04-5"
78,T3D0091,"22537-115-1"
79,T3D0092,"121-82-4"
80,T3D0093,"118-74-1"
81,T3D0094,"121-14-2"
